S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
disturbio;disturbi;0,00;0,83;0,00;0,17;0,00;0,00
diversion;diversion;0,00;0,00;1,00;0,00;0,00;0,00
divorcio;divorci;1,00;0,00;0,00;0,00;0,00;0,00
doctor;doctor;0,00;0,00;0,00;0,00;0,00;1,00
dolar;dol;0,00;0,00;0,00;0,00;0,00;1,00
dolencia;dolenci;0,83;0,17;0,00;0,00;0,00;0,00
dolor;dolor;0,83;0,17;0,00;0,00;0,00;0,00
dormir;dorm;0,00;0,00;0,50;0,00;0,00;0,50
duro;dur;0,00;0,00;0,00;0,00;0,00;1,00
edificio;edifici;0,00;0,00;0,00;0,00;0,00;1,00
educacion;educ;0,00;0,00;0,50;0,00;0,00;0,50
efectivo;efect;0,00;0,00;0,67;0,00;0,00;0,33
egoista;egoist;0,50;0,00;0,00;0,50;0,00;0,00
ejecucion;ejecu;0,00;0,67;0,00;0,00;0,00;0,33
ejercicio;ejercici;0,00;0,00;0,17;0,00;0,00;0,83
ejercito;ejercit;0,00;0,50;0,00;0,00;0,00;0,50
electrodomestico;electrodomest;0,00;0,00;0,00;0,00;0,00;1,00
elegante;eleg;0,00;0,00;0,67;0,00;0,00;0,33
empleo;emple;0,00;0,00;0,33;0,00;0,00;0,67
enamorado;enamor;0,00;0,00;1,00;0,00;0,00;0,00
encanto;encant;0,00;0,00;1,00;0,00;0,00;0,00
energico;energ;0,00;0,00;0,67;0,00;0,00;0,33
enfado;enfad;0,00;0,00;0,00;1,00;0,00;0,00
enfermedad;enfermed;0,67;0,33;0,00;0,00;0,00;0,00
enfermera;enfermer;0,00;0,00;0,17;0,00;0,00;0,83
enfermo;enferm;1,00;0,00;0,00;0,00;0,00;0,00
enfurecido;enfurec;0,00;0,17;0,00;0,83;0,00;0,00
enganyo;engany;0,17;0,00;0,00;0,83;0,00;0,00
engreido;engreid;0,00;0,00;0,00;1,00;0,00;0,00
ensalada;ensal;0,00;0,00;0,17;0,00;0,00;0,83
entierro;entierr;1,00;0,00;0,00;0,00;0,00;0,00
entrometido;entromet;0,00;0,00;0,00;0,83;0,17;0,00
entusiasmo;entusiasm;0,00;0,00;1,00;0,00;0,00;0,00
erotico;erot;0,00;0,00;0,67;0,00;0,00;0,33
error;error;0,50;0,00;0,00;0,33;0,00;0,17
erudito;erudit;0,00;0,00;0,17;0,00;0,00;0,83
escandalo;escandal;0,00;0,17;0,00;0,00;0,83;0,00
esceptico;escept;0,00;0,00;0,00;0,00;0,00;1,00
esclavo;esclav;1,00;0,00;0,00;0,00;0,00;0,00
esconder;escond;0,00;0,00;0,00;0,00;0,17;0,83
escopeta;escopet;0,00;1,00;0,00;0,00;0,00;0,00
escorbuto;escorbut;0,33;0,50;0,00;0,00;0,00;0,17
escoria;escori;0,17;0,00;0,00;0,83;0,00;0,00
escorpion;escorpion;0,00;1,00;0,00;0,00;0,00;0,00
escritor;escritor;0,00;0,00;0,00;0,00;0,00;1,00
esfera;esfer;0,00;0,00;0,00;0,00;0,00;1,00
espacio;espaci;0,00;0,00;0,00;0,00;0,00;1,00
espantoso;espant;0,17;0,50;0,00;0,17;0,00;0,17
esperanza;esper;0,00;0,00;1,00;0,00;0,00;0,00
esperanzado;esperanz;0,00;0,00;0,83;0,00;0,17;0,00
espina;espin;0,00;0,67;0,00;0,00;0,00;0,33
espiritu;espiritu;0,00;0,33;0,00;0,00;0,00;0,67
esposa;espos;0,00;0,00;0,33;0,00;0,00;0,67
esposo;espos;0,00;0,00;0,33;0,00;0,00;0,67
espuma;espum;0,00;0,00;0,00;0,00;0,00;1,00
esquina;esquin;0,00;0,00;0,00;0,00;0,00;1,00
estancado;estanc;0,50;0,00;0,00;0,00;0,00;0,50
estatua;estatu;0,00;0,00;0,00;0,00;0,00;1,00
estiercol;estiercol;0,00;0,00;0,00;0,00;0,00;1,00
estomago;estomag;0,00;0,00;0,00;0,00;0,00;1,00
estrella;estrell;0,00;0,00;0,83;0,00;0,00;0,17
estremecerse;estremec;0,00;0,67;0,00;0,00;0,33;0,00
estres;estres;0,33;0,00;0,00;0,50;0,00;0,17
estufa;estuf;0,00;0,00;0,00;0,00;0,00;1,00
estupido;estup;0,00;0,00;0,00;1,00;0,00;0,00
euforico;eufor;0,00;0,00;1,00;0,00;0,00;0,00
excelencia;excelent;0,00;0,00;1,00;0,00;0,00;0,00
excitado;excit;0,00;0,00;0,67;0,00;0,00;0,33
excusa;excus;0,00;0,00;0,00;0,50;0,00;0,50
exito;exit;0,00;0,00;1,00;0,00;0,00;0,00
exquisito;exquisit;0,00;0,00;1,00;0,00;0,00;0,00
extasis;extasis;0,00;0,00;1,00;0,00;0,00;0,00
exterior;exterior;0,00;0,00;0,17;0,00;0,00;0,83
extraordinario;extraordinari;0,00;0,00;1,00;0,00;0,00;0,00
extraterrestre;extraterrestr;0,00;0,50;0,00;0,00;0,33;0,17
facil;facil;0,00;0,00;0,67;0,00;0,00;0,33
falso ;falso ;0,00;0,00;0,00;0,67;0,00;0,33
fama;fam;0,00;0,00;0,50;0,00;0,00;0,50
famelico;famel;1,00;0,00;0,00;0,00;0,00;0,00
familia;famili;0,00;0,00;1,00;0,00;0,00;0,00
famoso;famos;0,00;0,00;0,00;0,00;0,00;1,00
fantasia;fantas;0,00;0,00;0,50;0,00;0,33;0,17
faro;far;0,00;0,00;0,00;0,00;0,00;1,00
farol;farol;0,00;0,00;0,00;0,00;0,00;1,00
fascinar;fascin;0,00;0,00;0,67;0,00;0,33;0,00
fase;fas;0,00;0,00;0,00;0,00;0,00;1,00
fastidiar;fastidi;0,00;0,00;0,00;1,00;0,00;0,00
fatigado;fatig;0,50;0,00;0,00;0,00;0,00;0,50
favor;favor;0,00;0,00;0,00;0,00;0,00;1,00
feliz;feliz;0,00;0,00;1,00;0,00;0,00;0,00
feo;feo;0,50;0,00;0,00;0,00;0,00;0,50
festivo;festiv;0,00;0,00;1,00;0,00;0,00;0,00
fetido;fet;0,00;0,00;0,00;0,67;0,00;0,33
