Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
adosada		1,25	1,25	1,72	1,22	1,21
adosado		1,2	1,15	1,84	1,25	1,26
adquirir		1,15	1,5	2,85	1,4	1,05
adquisición		1,15	1,65	3,3	1,1	1,4
adquisitivo		1,15	1,45	2,5	1,37	1,5
adrenalina		1,4	1,9	3,5	1,95	1
adscripción		1,22	1,22	1,44	1,33	1,19
aduana		1,8	2	1,7	2,15	1,84
aduanera		2,05	2,3	1,32	1,71	1,89
aducir		1,4	1,33	1,4	1,71	1,64
adulación		1,67	1,73	1,6	1,94	1,71
adulterado		2	2,68	1,11	2,75	2,89
adulterio		3,4	2,6	1,23	3,47	2,97
adulto		1,89	2,04	2,11	1,57	1,36
advenimiento		1,43	1,47	1,53	1,18	1,07
adverbio		1,11	1,35	1,5	1,25	1,3
adversario		1,77	2,63	2,03	2,5	1,9
adversidad		2,2	2,56	1,6	2,45	1,63
adverso		2	2,05	1,35	1,89	1,8
advertencia		2	2,35	1,3	2,3	1,8
advertir		1,83	2,77	1,7	2,03	1,47
adyacente		1,65	1,33	2	1,17	1,21
aérea		1,21	1,4	1,95	1,2	1,15
aéreo		1,55	1,75	2,8	1,1	1
aeróbic		1,05	1,25	2,6	1,25	1,35
aeródromo		1,05	1,06	1,65	1,6	1,3
aeroespacial		1,05	1,45	2,65	1,2	1,05
aerolínea		1,35	1,7	2,5	1,45	1,2
aeronáutica		1,25	1,4	2,2	1,15	1
aeronave		1,2	1,45	2,05	1,3	1,11
aeroplano		1,1	1,7	1,65	1,15	1,2
aeropuerto		2,2	1,7	3,27	1,13	1,17
afable		1,23	1	3,22	1,12	1,21
afamado		1,55	1,55	2,5	1,4	1,65
afán		1,35	1,58	2,65	1,84	1,45
afasia		3,86	3,19	1,13	1,81	1,54
afección		2,71	2,33	1,6	1,74	2,05
afecta		2,15	2,3	1,85	1,55	1,68
afectación		2,47	1,95	1,85	2,42	1,75
afectar		3	2,2	1,33	1,57	1,1
afectiva		1,4	1,1	3,5	1,55	1,05
afecto		1,5	1,43	4,37	1,2	1,03
afectuosa		1,4	1,3	3,35	1,1	1,15
afectuoso		1,33	1,27	3,83	1,07	1,13
afeitar		1,4	1,25	1,85	1,25	1,5
aferrar		1,6	1,65	1,85	1,8	1,65
afgano		2,11	2,33	1,94	1,71	1,25
afianzar		1,31	1,52	1,9	1,17	1,14
afición		1,17	1,31	4,07	1,21	1,14
aficionado		1,45	1,15	3,2	1,25	1,53
afiliación		1,35	1,42	2,35	1,4	1,11
afiliar		1,2	1,25	1,8	1,35	1,75
