S-Word;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
honor;0,00;0,00;0,83;0,00;0,00;0,17
hornear;0,00;0,00;0,17;0,00;0,00;0,83
horquilla;0,00;0,00;0,00;0,00;0,00;1,00
horror;0,00;1,00;0,00;0,00;0,00;0,00
hospital;0,17;0,50;0,00;0,00;0,00;0,33
hostil;0,00;0,17;0,00;0,83;0,00;0,00
hotel;0,00;0,00;0,00;0,00;0,00;1,00
huevo;0,00;0,00;0,17;0,00;0,00;0,83
humano;0,00;0,00;0,00;0,00;0,00;1,00
humilde;0,00;0,00;0,00;0,00;0,00;1,00
humillar;0,33;0,00;0,00;0,67;0,00;0,00
humor;0,00;0,00;1,00;0,00;0,00;0,00
huracan;0,00;1,00;0,00;0,00;0,00;0,00
idea;0,00;0,00;0,33;0,00;0,17;0,50
identidad;0,00;0,00;0,00;0,00;0,00;1,00
idiota;0,00;0,00;0,00;1,00;0,00;0,00
idolo;0,00;0,00;0,50;0,00;0,00;0,50
iglesia;0,00;0,00;0,17;0,00;0,00;0,83
ignorancia;0,67;0,00;0,00;0,17;0,00;0,17
imaginar;0,00;0,00;0,50;0,00;0,17;0,33
imparcial;0,00;0,00;0,00;0,17;0,00;0,83
impotente;0,33;0,00;0,00;0,50;0,00;0,17
impresionado;0,00;0,00;0,00;0,00;1,00;0,00
incentivo;0,00;0,00;0,67;0,00;0,00;0,33
incomodidad;0,67;0,00;0,00;0,33;0,00;0,00
incordio;0,00;0,00;0,00;1,00;0,00;0,00
indefenso;0,33;0,50;0,00;0,17;0,00;0,00
indiferente;0,00;0,00;0,00;0,17;0,00;0,83
industria;0,00;0,00;0,00;0,00;0,00;1,00
infeccion;0,33;0,67;0,00;0,00;0,00;0,00
infeliz;1,00;0,00;0,00;0,00;0,00;0,00
inferior;0,33;0,00;0,00;0,17;0,00;0,50
infiel;0,33;0,00;0,00;0,67;0,00;0,00
infierno;0,00;1,00;0,00;0,00;0,00;0,00
ingenio;0,00;0,00;0,50;0,00;0,17;0,33
inmaduro;0,00;0,00;0,00;0,67;0,00;0,33
inmoral;0,00;0,00;0,00;1,00;0,00;0,00
inocente;0,00;0,00;0,50;0,00;0,00;0,50
inquieto;0,00;0,33;0,17;0,00;0,00;0,50
insecto;0,00;0,17;0,00;0,00;0,00;0,83
inseguro;0,67;0,33;0,00;0,00;0,00;0,00
insolente;0,00;0,00;0,00;1,00;0,00;0,00
inspirado;0,00;0,00;0,50;0,00;0,00;0,50
inspirar;0,00;0,00;0,17;0,00;0,00;0,83
insulto;0,00;0,00;0,00;1,00;0,00;0,00
intelecto;0,00;0,00;0,50;0,00;0,00;0,50
interes;0,00;0,00;0,33;0,00;0,17;0,50
intimo;0,00;0,00;0,50;0,00;0,00;0,50
intruso;0,00;0,67;0,00;0,17;0,17;0,00
inundacion;0,17;0,83;0,00;0,00;0,00;0,00
inutil;0,33;0,00;0,00;0,67;0,00;0,00
invasor;0,00;0,67;0,00;0,33;0,00;0,00
invertir;0,00;0,00;0,17;0,00;0,00;0,83
invitacion;0,00;0,00;1,00;0,00;0,00;0,00
irritar;0,00;0,00;0,00;1,00;0,00;0,00
jaqueca;1,00;0,00;0,00;0,00;0,00;0,00
jardin;0,00;0,00;0,33;0,00;0,00;0,67
jarra;0,00;0,00;0,00;0,00;0,00;1,00
joven;0,00;0,00;0,50;0,00;0,00;0,50
jovial;0,00;0,00;1,00;0,00;0,00;0,00
joya;0,00;0,00;0,67;0,00;0,00;0,33
jubilo;0,00;0,00;1,00;0,00;0,00;0,00
jubiloso;0,00;0,00;1,00;0,00;0,00;0,00
juego;0,00;0,00;1,00;0,00;0,00;0,00
juguete;0,00;0,00;1,00;0,00;0,00;0,00
justicia;0,00;0,00;0,67;0,00;0,00;0,33
juventud;0,00;0,00;0,67;0,00;0,00;0,33
ketchup;0,00;0,00;0,00;0,00;0,00;1,00
ladron;0,00;0,83;0,00;0,17;0,00;0,00
lago;0,00;0,00;0,00;0,00;0,00;1,00
lampara;0,00;0,00;0,17;0,00;0,00;0,83
languido;1,00;0,00;0,00;0,00;0,00;0,00
lapiz;0,00;0,00;0,00;0,00;0,00;1,00
lastima;1,00;0,00;0,00;0,00;0,00;0,00
lavabo;0,00;0,00;0,00;0,00;0,00;1,00
leal;0,00;0,00;0,83;0,00;0,00;0,17
leche;0,00;0,00;0,00;0,00;0,00;1,00
lento;0,17;0,00;0,00;0,33;0,00;0,50
leon;0,00;0,67;0,00;0,00;0,00;0,33
lepra;0,17;0,83;0,00;0,00;0,00;0,00
lesbiana;0,00;0,00;0,00;0,00;0,00;1,00
lesion;0,17;0,50;0,00;0,00;0,00;0,33
leyenda;0,00;0,17;0,17;0,00;0,00;0,67
liberacion;0,00;0,00;1,00;0,00;0,00;0,00
libertad;0,00;0,00;1,00;0,00;0,00;0,00
libre;0,00;0,00;1,00;0,00;0,00;0,00
libro;0,00;0,00;0,17;0,00;0,00;0,83
licenciado;0,00;0,00;0,67;0,00;0,00;0,33
lider;0,00;0,17;0,17;0,00;0,00;0,67
liga;0,00;0,00;0,00;0,00;0,00;1,00
linterna;0,00;0,00;0,00;0,00;0,00;1,00
liso;0,00;0,00;0,00;0,00;0,00;1,00
litro;0,00;0,00;0,00;0,00;0,00;1,00
llano;0,00;0,00;0,00;0,00;0,00;1,00
llave;0,00;0,00;0,00;0,00;0,00;1,00
lloriqueo;1,00;0,00;0,00;0,00;0,00;0,00
lluvia;0,00;0,00;0,17;0,00;0,00;0,83
lobrego;0,00;1,00;0,00;0,00;0,00;0,00
loco;0,17;0,83;0,00;0,00;0,00;0,00
logro;0,00;0,00;1,00;0,00;0,00;0,00
loteria;0,00;0,00;0,67;0,00;0,17;0,17
lucha;0,00;0,50;0,00;0,50;0,00;0,00
lujo;0,00;0,00;0,67;0,00;0,00;0,33
lujuria;0,00;0,00;0,33;0,33;0,00;0,33
madre;0,00;0,00;0,50;0,00;0,00;0,50
maestro;0,00;0,00;0,17;0,00;0,00;0,83
magdalena;0,00;0,00;0,00;0,00;0,00;1,00
magico;0,00;0,00;0,67;0,00;0,33;0,00
magistral;0,00;0,00;0,50;0,00;0,00;0,50
malaria;0,67;0,33;0,00;0,00;0,00;0,00
maleducado;0,00;0,00;0,00;1,00;0,00;0,00
maletero;0,00;0,00;0,00;0,00;0,00;1,00
malicia;0,17;0,00;0,00;0,83;0,00;0,00
maltrato;0,17;0,17;0,00;0,67;0,00;0,00
malvado;0,17;0,33;0,00;0,50;0,00;0,00
manera;0,00;0,00;0,00;0,00;0,00;1,00
manguera;0,00;0,00;0,00;0,00;0,00;1,00
maniaco;0,00;1,00;0,00;0,00;0,00;0,00
maniqui;0,00;0,00;0,00;0,00;0,00;1,00
mano;0,00;0,00;0,00;0,00;0,00;1,00
manosear;0,00;0,00;0,00;0,50;0,00;0,50
manso;0,00;0,00;0,00;0,00;0,00;1,00
mantequilla;0,00;0,00;0,00;0,00;0,00;1,00
maquina;0,00;0,00;0,00;0,00;0,00;1,00
maquinilla;0,00;0,00;0,00;0,00;0,00;1,00
maravilla;0,00;0,00;0,83;0,00;0,17;0,00
mareado;0,67;0,33;0,00;0,00;0,00;0,00
mariposa;0,00;0,00;0,17;0,00;0,00;0,83
mariquita;0,00;0,00;0,17;0,00;0,00;0,83
martillo;0,00;0,17;0,00;0,00;0,00;0,83
masacre;0,33;0,50;0,00;0,17;0,00;0,00
mascota;0,00;0,00;0,67;0,00;0,00;0,33
masturbarse;0,00;0,00;0,17;0,00;0,00;0,83
matanza;0,33;0,67;0,00;0,00;0,00;0,00
material;0,00;0,00;0,00;0,00;0,00;1,00
medicina;0,00;0,00;0,33;0,00;0,00;0,67
mejorar;0,00;0,00;1,00;0,00;0,00;0,00
melodia;0,00;0,00;0,67;0,00;0,00;0,33
memoria;0,00;0,00;0,00;0,00;0,00;1,00
mendigo;1,00;0,00;0,00;0,00;0,00;0,00
menosprecio;0,17;0,00;0,00;0,83;0,00;0,00
mente;0,00;0,00;0,00;0,00;0,00;1,00
mentira;0,00;0,00;0,00;1,00;0,00;0,00
menton;0,00;0,00;0,00;0,00;0,00;1,00
mercado;0,00;0,00;0,00;0,00;0,00;1,00
mermelada;0,00;0,00;0,17;0,00;0,00;0,83
mes;0,00;0,00;0,00;0,00;0,00;1,00
mesa;0,00;0,00;0,00;0,00;0,00;1,00
metal;0,00;0,00;0,00;0,00;0,00;1,00
metodo;0,00;0,00;0,00;0,00;0,00;1,00
miedoso;0,00;1,00;0,00;0,00;0,00;0,00
miel;0,00;0,00;0,17;0,00;0,00;0,83
milagro;0,00;0,00;0,50;0,00;0,50;0,00
millonario;0,00;0,00;0,50;0,00;0,00;0,50
miseria;1,00;0,00;0,00;0,00;0,00;0,00
mistico;0,00;0,00;0,17;0,00;0,17;0,67
modesto;0,00;0,00;0,33;0,00;0,00;0,67
moho;0,17;0,17;0,00;0,17;0,00;0,50
molde;0,00;0,00;0,00;0,00;0,00;1,00
molestar;0,00;0,00;0,00;1,00;0,00;0,00
molestia;0,00;0,00;0,00;1,00;0,00;0,00
molino;0,00;0,00;0,00;0,00;0,00;1,00
momento;0,00;0,00;0,00;0,00;0,00;1,00
moneda;0,00;0,00;0,00;0,00;0,00;1,00
monja;0,00;0,00;0,00;0,00;0,00;1,00
mono;0,00;0,00;0,00;0,00;0,00;1,00
montanya;0,00;0,00;0,17;0,00;0,00;0,83
moral;0,00;0,00;0,00;0,00;0,00;1,00
morboso;0,17;0,00;0,00;0,67;0,17;0,00
morgue;0,67;0,33;0,00;0,00;0,00;0,00
mosquito;0,00;0,17;0,00;0,17;0,00;0,67
motor;0,00;0,00;0,00;0,00;0,00;1,00
movilidad;0,00;0,00;0,00;0,00;0,00;1,00
mucosidad;0,17;0,00;0,00;0,00;0,00;0,83
mueca;0,00;0,00;0,17;0,33;0,17;0,33
muerte;0,83;0,17;0,00;0,00;0,00;0,00
muerto;0,67;0,33;0,00;0,00;0,00;0,00
mugre;0,00;0,00;0,00;0,67;0,00;0,33
mujer;0,00;0,00;0,17;0,00;0,00;0,83
muleta;0,33;0,00;0,00;0,00;0,00;0,67
multa;0,00;0,00;0,00;0,83;0,00;0,17
mundo;0,00;0,00;0,00;0,00;0,00;1,00
munyeca;0,00;0,00;0,17;0,00;0,00;0,83
musculoso;0,00;0,00;0,00;0,00;0,00;1,00
museo;0,00;0,00;0,00;0,00;0,00;1,00
musica;0,00;0,00;0,67;0,00;0,00;0,33
mutacion;0,00;0,17;0,00;0,00;0,50;0,33
mutilar;0,33;0,50;0,00;0,17;0,00;0,00
nadador;0,00;0,00;0,00;0,00;0,00;1,00
narcotico;0,17;0,50;0,00;0,00;0,00;0,33
natural;0,00;0,00;0,00;0,00;0,00;1,00
naturaleza;0,00;0,00;0,50;0,00;0,00;0,50
navidad;0,00;0,00;1,00;0,00;0,00;0,00
nectar;0,00;0,00;0,00;0,00;0,00;1,00
negligencia;0,00;0,00;0,00;1,00;0,00;0,00
negro;0,00;0,00;0,00;0,00;0,00;1,00
nene;0,00;0,00;0,00;0,00;0,00;1,00
nervioso;0,17;0,33;0,00;0,17;0,17;0,17
neurotico;0,17;0,33;0,00;0,17;0,00;0,33
nevera;0,00;0,00;0,00;0,00;0,00;1,00
nieve;0,00;0,00;0,00;0,00;0,00;1,00
ninyo;0,00;0,00;0,17;0,00;0,00;0,83
nombre;0,00;0,00;0,00;0,00;0,00;1,00
noticias;0,00;0,00;0,00;0,00;0,33;0,67
novia;0,00;0,00;0,67;0,00;0,00;0,33
novio;0,00;0,00;0,67;0,00;0,00;0,33
nubes;0,00;0,00;0,00;0,00;0,00;1,00
nublado;0,50;0,17;0,00;0,00;0,00;0,33
nudo;0,00;0,00;0,00;0,00;0,00;1,00
nutrir;0,00;0,00;0,33;0,00;0,00;0,67
obedecer;0,00;0,17;0,33;0,17;0,00;0,33
obesidad;0,67;0,00;0,00;0,00;0,00;0,33
obsceno;0,00;0,00;0,00;1,00;0,00;0,00
obsequio;0,00;0,00;0,67;0,00;0,33;0,00
obsesion;0,00;1,00;0,00;0,00;0,00;0,00
ocaso;0,33;0,00;0,00;0,00;0,00;0,67
oceano;0,00;0,00;0,00;0,00;0,00;1,00
odiar;0,00;0,00;0,00;1,00;0,00;0,00
odio;0,00;0,00;0,00;1,00;0,00;0,00
ofender;0,17;0,00;0,00;0,83;0,00;0,00
oficina;0,17;0,00;0,00;0,00;0,00;0,83
olla;0,00;0,00;0,00;0,00;0,00;1,00
opcion;0,00;0,00;0,00;0,00;0,00;1,00
opinion;0,00;0,00;0,00;0,00;0,00;1,00
oportunidad;0,00;0,00;0,67;0,00;0,17;0,17
optimismo;0,00;0,00;1,00;0,00;0,00;0,00
ordenado;0,00;0,00;0,33;0,00;0,00;0,67
ordenador;0,00;0,00;0,00;0,00;0,00;1,00
orgasmo;0,00;0,00;1,00;0,00;0,00;0,00
orgullo;0,00;0,00;0,50;0,00;0,00;0,50
orgulloso;0,00;0,00;0,83;0,17;0,00;0,00
orina;0,00;0,00;0,00;0,00;0,00;1,00
oro;0,00;0,00;0,33;0,00;0,00;0,67
orquesta;0,00;0,00;0,50;0,00;0,00;0,50
oscuro;0,17;0,50;0,00;0,00;0,00;0,33
otonyo;0,17;0,00;0,17;0,00;0,00;0,67
oxidado;0,17;0,00;0,00;0,00;0,00;0,83
paciente;0,17;0,00;0,00;0,00;0,00;0,83
padre;0,00;0,00;0,17;0,00;0,00;0,83
pajaro;0,00;0,00;0,50;0,00;0,00;0,50
palacio;0,00;0,00;0,17;0,00;0,00;0,83
paloma;0,00;0,00;0,17;0,00;0,00;0,83
pancarta;0,00;0,00;0,00;0,17;0,00;0,83
panico;0,00;1,00;0,00;0,00;0,00;0,00
pantano;0,00;0,00;0,00;0,00;0,00;1,00
panyuelo;0,00;0,00;0,00;0,00;0,00;1,00
papel;0,00;0,00;0,00;0,00;0,00;1,00
paraguas;0,00;0,00;0,00;0,00;0,00;1,00
paraiso;0,00;0,00;1,00;0,00;0,00;0,00
paralisis;0,67;0,33;0,00;0,00;0,00;0,00
pareja;0,00;0,00;0,83;0,00;0,00;0,17
parte;0,00;0,00;0,00;0,00;0,00;1,00
pasaje;0,00;0,00;0,00;0,00;0,00;1,00
pasillo;0,00;0,00;0,00;0,00;0,00;1,00
pasion;0,00;0,00;1,00;0,00;0,00;0,00
pasta;0,00;0,00;0,00;0,00;0,00;1,00
pastel;0,00;0,00;0,33;0,00;0,00;0,67
patente;0,00;0,00;0,00;0,00;0,00;1,00
patriota;0,00;0,00;0,00;0,00;0,00;1,00
pausado;0,00;0,00;0,00;0,00;0,00;1,00
paz;0,00;0,00;0,83;0,00;0,00;0,17
pecado;0,17;0,00;0,00;0,50;0,00;0,33
pecaminoso;0,17;0,00;0,00;0,50;0,00;0,33
pelicula;0,00;0,00;0,00;0,00;0,00;1,00
peligro;0,00;1,00;0,00;0,00;0,00;0,00
pellizco;0,00;0,00;0,00;0,50;0,50;0,00
pena;1,00;0,00;0,00;0,00;0,00;0,00
pene;0,00;0,00;0,00;0,00;0,00;1,00
penoso;1,00;0,00;0,00;0,00;0,00;0,00
pensamiento;0,00;0,00;0,00;0,00;0,00;1,00
perdedor;1,00;0,00;0,00;0,00;0,00;0,00
perdido;0,67;0,33;0,00;0,00;0,00;0,00
perezoso;0,17;0,00;0,00;0,67;0,00;0,17
perfeccion;0,00;0,00;0,67;0,00;0,00;0,33
perfume;0,00;0,00;0,50;0,00;0,00;0,50
perro;0,00;0,00;0,50;0,00;0,00;0,50
persona;0,00;0,00;0,00;0,00;0,00;1,00
perverso;0,00;0,50;0,00;0,50;0,00;0,00
pervertido;0,00;0,17;0,00;0,67;0,00;0,17
pesadilla;0,00;1,00;0,00;0,00;0,00;0,00
pesar;0,67;0,00;0,00;0,00;0,00;0,33
pesaroso;1,00;0,00;0,00;0,00;0,00;0,00
pescado;0,00;0,00;0,00;0,00;0,00;1,00
pesimismo;0,83;0,00;0,00;0,00;0,00;0,17
peste;0,00;0,17;0,00;0,67;0,00;0,17
pezon;0,00;0,00;0,00;0,00;0,00;1,00
pie;0,00;0,00;0,00;0,00;0,00;1,00
piel;0,00;0,00;0,00;0,00;0,00;1,00
pieza;0,00;0,00;0,00;0,00;0,00;1,00
pinchazo;0,00;0,17;0,00;0,17;0,50;0,17
pintura;0,00;0,00;0,00;0,00;0,00;1,00
piojo;0,00;0,50;0,00;0,17;0,00;0,33
piojos;0,00;0,50;0,00;0,17;0,00;0,33
pirotecnia;0,00;0,50;0,17;0,00;0,17;0,17
pistola;0,00;1,00;0,00;0,00;0,00;0,00
piton;0,00;1,00;0,00;0,00;0,00;0,00
pizza;0,00;0,00;0,00;0,00;0,00;1,00
placer;0,00;0,00;1,00;0,00;0,00;0,00
planta;0,00;0,00;0,50;0,00;0,00;0,50
playa;0,00;0,00;0,50;0,00;0,00;0,50
pleito;0,00;0,00;0,00;1,00;0,00;0,00
pobreza;1,00;0,00;0,00;0,00;0,00;0,00
poder;0,00;0,33;0,33;0,00;0,00;0,33
poderoso;0,00;0,33;0,33;0,00;0,00;0,33
podrido;0,33;0,00;0,00;0,33;0,00;0,33
poesia;0,00;0,00;0,50;0,00;0,00;0,50
ponzonya;0,00;1,00;0,00;0,00;0,00;0,00
porqueria;0,00;0,00;0,00;0,67;0,00;0,33
poster;0,00;0,00;0,00;0,00;0,00;1,00
pradera;0,00;0,00;0,50;0,00;0,00;0,50
precipicio;0,00;0,83;0,00;0,00;0,00;0,17
predominante;0,00;0,00;0,00;0,00;0,00;1,00
prenda;0,00;0,00;0,00;0,00;0,00;1,00
presion;0,00;0,00;0,00;0,50;0,00;0,50
prestigio;0,00;0,00;1,00;0,00;0,00;0,00
primavera;0,00;0,00;0,50;0,00;0,00;0,50
prision;0,17;0,83;0,00;0,00;0,00;0,00
privacidad;0,00;0,00;0,00;0,00;0,00;1,00
problema;0,33;0,67;0,00;0,00;0,00;0,00
progreso;0,00;0,00;0,67;0,00;0,00;0,33
promocion;0,00;0,00;1,00;0,00;0,00;0,00
protegido;0,00;0,00;0,83;0,00;0,00;0,17
publicacion;0,00;0,00;0,00;0,00;0,00;1,00
pueblo;0,00;0,00;0,00;0,00;0,00;1,00
puerta;0,00;0,00;0,00;0,00;0,00;1,00
puntapie;0,00;0,00;0,00;0,33;0,17;0,50
pus;0,00;0,50;0,00;0,00;0,00;0,50
puta;0,00;0,00;0,00;0,67;0,00;0,33
putrefacto;0,00;0,33;0,00;0,50;0,00;0,17
queja;0,17;0,00;0,00;0,83;0,00;0,00
quemadura;0,17;0,67;0,00;0,00;0,17;0,00
queroseno;0,00;0,50;0,00;0,00;0,00;0,50
rabia;0,00;0,00;0,00;1,00;0,00;0,00
radiador;0,00;0,00;0,00;0,00;0,00;1,00
radiante;0,00;0,00;0,67;0,00;0,00;0,33
radio;0,00;0,00;0,00;0,00;0,00;1,00
ramo;0,00;0,00;0,17;0,00;0,00;0,83
rana;0,00;0,00;0,00;0,00;0,00;1,00
rancio;0,00;0,00;0,00;0,50;0,00;0,50
rapido;0,00;0,00;0,17;0,00;0,00;0,83
rapto;0,00;0,67;0,00;0,17;0,00;0,17
raro;0,00;0,00;0,00;0,00;0,50;0,50
rascacielos;0,00;0,00;0,00;0,00;0,00;1,00
rata;0,00;0,33;0,00;0,00;0,00;0,67
rebelde;0,00;0,17;0,00;0,33;0,17;0,33
recado;0,00;0,00;0,00;0,00;0,00;1,00
rechazado;0,83;0,00;0,00;0,17;0,00;0,00
recogedor;0,00;0,00;0,00;0,00;0,00;1,00
recompensa;0,00;0,00;1,00;0,00;0,00;0,00
reconocido;0,00;0,00;0,67;0,00;0,00;0,33
recuerdos;0,00;0,00;0,33;0,00;0,00;0,67
refrigerio;0,00;0,00;0,00;0,00;0,00;1,00
regalo;0,00;0,00;1,00;0,00;0,00;0,00
rehen;0,00;0,83;0,00;0,17;0,00;0,00
reina;0,00;0,00;0,00;0,00;0,00;1,00
relajado;0,00;0,00;0,33;0,00;0,00;0,67
relampago;0,00;0,50;0,00;0,00;0,33;0,17
reloj;0,00;0,00;0,00;0,00;0,00;1,00
repisa;0,00;0,00;0,00;0,00;0,00;1,00
reptil;0,00;0,17;0,00;0,00;0,00;0,83
repugnante;0,00;0,00;0,00;0,67;0,00;0,33
rescate;0,00;0,00;0,67;0,00;0,00;0,33
resentirse;0,50;0,00;0,00;0,50;0,00;0,00
reservado;0,00;0,00;0,00;0,00;0,00;1,00
respeto;0,00;0,00;0,50;0,00;0,00;0,50
respetuoso;0,00;0,00;0,50;0,00;0,00;0,50
respuesta;0,00;0,00;0,00;0,00;0,00;1,00
restaurante;0,00;0,00;0,00;0,00;0,00;1,00
retrasado;0,33;0,00;0,00;0,17;0,00;0,50
reunion;0,00;0,00;0,00;0,00;0,00;1,00
reverente;0,00;0,00;0,00;0,00;0,00;1,00
revolver;0,00;1,00;0,00;0,00;0,00;0,00
revuelta;0,00;0,33;0,00;0,33;0,17;0,17
rey;0,00;0,00;0,00;0,00;0,00;1,00
rifle;0,00;1,00;0,00;0,00;0,00;0,00
rigido;0,00;0,00;0,00;0,17;0,00;0,83
rinya;0,00;0,17;0,00;0,83;0,00;0,00
rio;0,00;0,00;0,00;0,00;0,00;1,00
riqueza;0,00;0,00;0,67;0,00;0,00;0,33
risa;0,00;0,00;1,00;0,00;0,00;0,00
roca;0,00;0,00;0,00;0,00;0,00;1,00
rojo;0,00;0,00;0,17;0,33;0,00;0,50
romantico;0,00;0,00;1,00;0,00;0,00;0,00
ronya;0,17;0,00;0,00;0,50;0,00;0,33
ropa;0,00;0,00;0,00;0,00;0,00;1,00
roto;0,67;0,00;0,00;0,33;0,00;0,00
rubio;0,00;0,00;0,00;0,00;0,00;1,00
ruidoso;0,00;0,00;0,00;0,50;0,33;0,17
sabio;0,00;0,00;0,50;0,00;0,00;0,50
sabor;0,00;0,00;0,00;0,00;0,00;1,00
salud  ;0,00;0,00;0,67;0,00;0,00;0,33
saludar;0,00;0,00;0,33;0,00;0,00;0,67
saludo;0,00;0,00;0,33;0,00;0,00;0,67
salvador;0,00;0,00;0,83;0,00;0,00;0,17
sangriento;0,00;1,00;0,00;0,00;0,00;0,00
santo;0,00;0,00;0,17;0,00;0,00;0,83
sarampion;0,50;0,50;0,00;0,00;0,00;0,00
satisfecho;0,00;0,00;1,00;0,00;0,00;0,00
secador;0,00;0,00;0,00;0,00;0,00;1,00
seda;0,00;0,00;0,00;0,00;0,00;1,00
seguro;0,00;0,00;0,50;0,00;0,00;0,50
seno;0,00;0,00;0,00;0,00;0,00;1,00
sentimiento;0,00;0,00;0,00;0,00;0,17;0,83
serio;0,00;0,17;0,00;0,33;0,00;0,50
serpiente;0,00;0,50;0,00;0,00;0,00;0,50
sexo;0,00;0,00;0,33;0,00;0,00;0,67
sexy;0,00;0,00;0,50;0,00;0,00;0,50
sifilis;0,33;0,67;0,00;0,00;0,00;0,00
silbato;0,00;0,00;0,17;0,00;0,00;0,83
silla;0,00;0,00;0,00;0,00;0,00;1,00
simpatico;0,00;0,00;1,00;0,00;0,00;0,00
snob;0,00;0,00;0,00;0,67;0,17;0,17
sobrecogido;0,17;0,50;0,00;0,00;0,33;0,00
sobresaltado;0,00;0,00;0,00;0,00;1,00;0,00
sociable;0,00;0,00;0,50;0,00;0,00;0,50
soga;0,00;0,50;0,00;0,00;0,00;0,50
sol;0,00;0,00;0,50;0,00;0,00;0,50
soleado;0,00;0,00;0,67;0,00;0,00;0,33
soledad;1,00;0,00;0,00;0,00;0,00;0,00
solemne;0,00;0,00;0,00;0,00;0,00;1,00
solitario;0,67;0,00;0,00;0,00;0,00;0,33
solo;0,67;0,00;0,00;0,00;0,00;0,33
sombra;0,00;0,17;0,00;0,00;0,00;0,83
sombrero;0,00;0,00;0,00;0,00;0,00;1,00
sonajero;0,00;0,00;0,50;0,00;0,00;0,50
sorprendido;0,00;0,00;0,00;0,00;1,00;0,00
soso;0,17;0,00;0,00;0,00;0,00;0,83
sospechoso;0,00;0,50;0,00;0,17;0,17;0,17
spray;0,00;0,00;0,00;0,00;0,00;1,00
suave;0,00;0,00;0,33;0,00;0,00;0,67
suburbio;0,17;0,17;0,00;0,00;0,00;0,67
suciedad;0,00;0,00;0,00;0,67;0,00;0,33
sucio;0,00;0,00;0,00;0,67;0,00;0,33
suenyo;0,00;0,00;0,00;0,00;0,00;1,00
suicidio;0,67;0,33;0,00;0,00;0,00;0,00
sustento;0,00;0,00;0,00;0,00;0,00;1,00
tabaco;0,00;0,00;0,00;0,17;0,00;0,83
tablero;0,00;0,00;0,00;0,00;0,00;1,00
taburete;0,00;0,00;0,00;0,00;0,00;1,00
talento;0,00;0,00;0,83;0,00;0,00;0,17
tanque;0,00;0,50;0,00;0,00;0,00;0,50
tarta;0,00;0,00;0,50;0,00;0,00;0,50
taxi;0,00;0,00;0,00;0,00;0,00;1,00
tela;0,00;0,00;0,00;0,00;0,00;1,00
temeroso;0,00;1,00;0,00;0,00;0,00;0,00
temor;0,00;1,00;0,00;0,00;0,00;0,00
temperamental;0,00;0,00;0,00;1,00;0,00;0,00
tenedor;0,00;0,00;0,00;0,00;0,00;1,00
tenis;0,00;0,00;0,00;0,00;0,00;1,00
tenso;0,00;0,67;0,00;0,00;0,00;0,33
tenue;0,00;0,00;0,00;0,00;0,00;1,00
teoria;0,00;0,00;0,00;0,00;0,00;1,00
termita;0,00;0,00;0,00;0,00;0,00;1,00
termometro;0,00;0,00;0,00;0,00;0,00;1,00
terrible;0,00;0,83;0,00;0,17;0,00;0,00
terrorista;0,00;1,00;0,00;0,00;0,00;0,00
tesoro;0,00;0,00;0,67;0,00;0,00;0,33
tiburon;0,00;0,83;0,00;0,00;0,00;0,17
tiempo;0,00;0,00;0,00;0,00;0,00;1,00
tierno;0,00;0,00;0,83;0,00;0,00;0,17
tierra;0,00;0,00;0,00;0,00;0,00;1,00
tieso;0,17;0,00;0,00;0,17;0,00;0,67
tijeras;0,00;0,00;0,00;0,00;0,00;1,00
timido;0,00;0,17;0,00;0,00;0,00;0,83
tinta;0,00;0,00;0,00;0,00;0,00;1,00
tobillo;0,00;0,00;0,00;0,00;0,00;1,00
tobogan;0,00;0,00;0,33;0,00;0,00;0,67
tolerante;0,00;0,00;0,50;0,00;0,00;0,50
tonada;0,00;0,00;0,33;0,00;0,00;0,67
tonteria;0,00;0,00;0,00;0,50;0,00;0,50
tonto;0,00;0,00;0,00;0,67;0,00;0,33
tormenta;0,00;1,00;0,00;0,00;0,00;0,00
tornado;0,00;1,00;0,00;0,00;0,00;0,00
torpe;0,33;0,00;0,00;0,17;0,00;0,50
torre;0,00;0,00;0,00;0,00;0,00;1,00
tortura;0,00;0,67;0,00;0,33;0,00;0,00
toxico;0,00;1,00;0,00;0,00;0,00;0,00
tragedia;1,00;0,00;0,00;0,00;0,00;0,00
traicionar;0,00;0,00;0,00;0,83;0,17;0,00
traidor;0,00;0,00;0,00;1,00;0,00;0,00
trampolin;0,00;0,00;0,00;0,00;0,00;1,00
tranquilo;0,00;0,00;0,00;0,00;0,00;1,00
trauma;0,17;0,83;0,00;0,00;0,00;0,00
travesia;0,00;0,00;0,17;0,00;0,00;0,83
travesura;0,00;0,00;0,33;0,00;0,17;0,50
triste;1,00;0,00;0,00;0,00;0,00;0,00
triunfante;0,00;0,00;1,00;0,00;0,00;0,00
triunfo;0,00;0,00;1,00;0,00;0,00;0,00
trofeo;0,00;0,00;1,00;0,00;0,00;0,00
trompeta;0,00;0,00;0,33;0,00;0,00;0,67
tumba;0,50;0,33;0,00;0,00;0,00;0,17
tumor;0,50;0,50;0,00;0,00;0,00;0,00
turbio;0,00;0,50;0,00;0,33;0,00;0,17
ulcera;0,67;0,33;0,00;0,00;0,00;0,00
